torso_tx,torso_ty,torso_tz,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,end_eff_tx,end_eff_ty,end_eff_tz,goal_tx,goal_ty,goal_tz,elbow_tx,elbow_ty,elbow_tz
354.13861,495.68543,349.94681,-1.9967773e-08,1.9606172e-07,1.4496406e-08,32.783642,-14.701216,27.159838,43.409321,92.607529,790.27949,295.48744,413.62679,757.82205,394.4048,398.12214,427.90268,335.53525,596.50756
353.88997,495.25732,349.81517,0.20887263,0.28725973,-0.15356494,32.671612,-14.880691,27.486504,43.409157,92.627014,790.32199,295.46983,413.62885,757.76252,394.35774,398.15715,427.89525,335.58383,596.48132
354.08573,495.70143,349.90603,0.00050921825,-0.01649813,-0.0046201423,32.83009,-14.728364,27.200102,43.398312,92.644608,790.34831,295.48542,413.68208,757.78888,394.35407,398.13579,428.00411,335.69347,596.48245
353.93432,495.44133,349.79722,-0.21818098,0.29806978,-0.19599085,32.868458,-14.472953,27.661253,43.379925,92.686989,790.21987,296.25875,413.87306,757.79105,394.35772,398.14131,427.99668,335.74123,596.45675
353.89146,495.4348,349.78065,-0.23009393,0.29314533,-0.2017609,32.897968,-14.481529,27.676506,43.367462,92.430717,790.25524,296.31034,413.86646,757.82433,394.39915,398.14686,428.09564,335.9124,596.53139
353.90588,495.45318,349.80078,-0.24202485,0.27131912,-0.13763674,32.823135,-14.412123,27.512617,43.360497,92.449936,790.11555,296.27466,413.84078,757.45762,394.0451,398.21281,428.13533,335.93531,596.51195
353.81794,495.40791,349.70609,-0.29048699,0.25517201,-0.16592836,32.959209,-14.527155,27.642778,43.397125,92.476509,790.15559,296.35416,413.9104,757.52065,393.95234,398.23512,428.13019,335.97354,596.47216
353.79149,495.39734,349.68777,-0.32291058,0.24233058,-0.17923087,32.973995,-14.485783,27.64365,43.374786,92.290871,790.19652,296.27583,413.91748,757.54811,393.97219,398.25442,428.1365,336.06223,596.48453
353.7504,495.36369,349.65779,-0.33585361,0.23855688,-0.16871662,33.016212,-14.533134,27.645432,43.377361,92.217102,790.17003,296.42164,413.95168,757.53932,393.93249,398.25163,428.12918,336.10156,596.57996
353.71979,495.34279,349.64856,-0.34457931,0.24161363,-0.17269185,33.025555,-14.545931,27.631763,43.377808,92.518379,790.25677,296.29593,414.09253,757.54734,393.95102,398.24444,428.14768,336.1219,596.50295
353.6573,495.28661,349.61963,-0.3332482,0.21362559,-0.14715992,32.996441,-14.528045,27.59811,43.376194,92.566643,790.32774,296.34766,414.16132,757.55307,393.94371,398.25956,428.12907,336.10919,596.45937
353.62352,495.3035,349.60519,-0.3550525,0.2238031,-0.1718145,33.043793,-14.545547,27.615599,43.375362,92.545715,790.34179,296.2922,414.17685,757.54936,393.95243,398.25058,428.17746,336.19497,596.56451
